SimTime,Latitude,Longitude,SOG,COG,Heading,AftThruster,ForeThruster,PortEngine,StbdEngine,PortRudder,StbdRudder
16,60.4992,146.388,0.329773,119.982,107.568,0,0,0,0,0,0
17,60.4992,146.388,0.376833,120.677,107.82,0,0,0,0,0,0
18,60.4992,146.388,0.448425,120.964,107.962,0,0,0,0,0,0
19,60.4992,146.388,0.494659,119.982,108.029,0,0,0,0,0,0
20,60.4992,146.388,0.560545,114.305,108.156,0,0,0,0,0,0
21,60.4992,146.388,0.648845,118.301,108.24,0,0,0,0,0,0
22,60.4992,146.388,0.701105,119.578,108.474,0,0,0,0,0,0
23,60.4992,146.388,0.74707,118.072,108.85,0,0,0,0,0,0
24,60.4992,146.388,0.837883,117.741,108.98,0,0,0,0,0,0
25,60.4992,146.388,0.901984,114.848,109.059,0,0,0,0,0,0
26,60.4992,146.388,0.964125,119.34,109.464,0,0,0,0,0,0
27,60.4992,146.388,1.04522,119.259,109.86,0,0,0,0,0,0
28,60.4992,146.388,1.09833,117.718,110.123,0,0,0,0,0,0
29,60.4992,146.388,1.14734,115.829,110.33,0,0,0,0,0,0
30,60.4992,146.388,1.24559,115.887,110.622,0,0,0,0,0,0
31,60.4992,146.388,1.33808,122.255,111.207,0,0,0,0,0,0
32,60.4992,146.388,1.36613,120.174,111.867,0,0,0,0,0,0
